Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
37.jpg,Healthy Teeth,1660.3187225569284,2392.803182530747,1654.7952176578785,2383.4274635162456,0.9744668482982666,0.9632023624007204,0.974551791319505,0.96334654655805,6.511053813948739,9.383541892277439,6.489393010423053,9.346774366730376,0.8066059472569929,0.8451498799119604,0.8061827922631559,0.8446795795184439,0.4803678536698113,0.4699671267482198,0.48055927118696956,0.4701008286959466,0.6930857477035661,0.6855414843379063,0.6932238247398668,0.6856389929809612,0.9483910757579668,0.9255983856272578,0.9485512445662649,0.925889897479589
38.jpg,Healthy Teeth,1594.4504493005209,2497.531958756561,1850.2157418761497,2505.112327321477,0.9754798011672173,0.9615917946858709,0.9715465238231453,0.961475220260796,6.252746860002042,9.794242975515926,7.255748007357449,9.823969911064617,0.8020435503850358,0.8495061651706011,0.8161261249536296,0.8498806010541788,0.4821637513745811,0.46929774289328163,0.478508772866567,0.469190135369793,0.6943801202328456,0.6850530949446777,0.6917432853787358,0.68497455089207,0.9503548585494198,0.9222129789990006,0.9423831322398113,0.921976884206825
39.jpg,Healthy Teeth,1279.3849688553048,2093.6446020609446,1540.2406499080319,2054.3463755533535,0.9803250243155768,0.9678029618604721,0.9763134646155687,0.9684073082220441,5.017195956295313,8.210370988474294,6.040159411404047,8.056260296287661,0.7561277503324348,0.801232401133461,0.7712673710224345,0.7991919480381444,0.513456629110153,0.5015601334572166,0.5096244879100676,0.5021256752391281,0.7165588804209693,0.7082091029189166,0.7138798833908038,0.7086082664202613,0.9578917947357296,0.9310957002227722,0.9493056911910747,0.9323890888060409
40.jpg,Healthy Teeth,2037.799703870111,3179.632140676817,2460.398221949724,3151.7044670165997,0.9686617706168283,0.951102141594488,0.9621628545205037,0.9515316263184481,7.991371387725926,12.469145649713008,9.64862047823421,12.35962536084941,0.8311983110577021,0.887026357752197,0.8527970534400784,0.8857503175108112,0.4709158149222449,0.4548045699014248,0.464902368465668,0.4551922426347892,0.6862330616650912,0.6743920001760287,0.6818374941770715,0.6746793628345166,0.9371626674722502,0.9019454632879425,0.9241259978431635,0.9028067060295683
41.jpg,Healthy Teeth,1329.5165679567037,2020.8996616221887,1508.4125536480688,2034.3315427635312,0.9795540773235829,0.96892166730812,0.9768029318480598,0.9687151056075489,5.213790462575309,7.925096712243877,5.915343347639485,7.977770755935416,0.7878831230181702,0.8265084690121713,0.7983420998228774,0.8272169699601761,0.48489521546278574,0.474830681867908,0.4822551258086969,0.4746372026061516,0.6963441788819561,0.6890795903724823,0.6944459128029317,0.6889391864353135,0.9587008610957505,0.9372216768869981,0.9531446151801068,0.9368043956862895
42.jpg,Healthy Teeth,1560.7859185132238,2602.393723904567,1948.8230380134887,2542.9476756849617,0.9759975099419735,0.9599791818056691,0.9700300950694569,0.960893370718098,6.1207290922087205,10.205465583939478,7.642443286327406,9.972343826215537,0.8007453329490573,0.8552738847787766,0.8220469589968122,0.8523636741476892,0.48206237550669634,0.46721873195518165,0.4764842207352403,0.4680605952665679,0.6943071190090855,0.6835340020475804,0.6902783646727169,0.6841495415964026,0.9514614155906214,0.9190442021630211,0.9393856779001262,0.9208934620262264
43.jpg,Healthy Teeth,1714.6998876748698,2700.2735706375183,2075.4045064377683,2740.569214061546,0.9736305495082757,0.9584739401064573,0.9680834665143516,0.9578542550047435,6.724313284999489,10.58930812014713,8.138841201716737,10.747330251221749,0.8086235468321152,0.859406422394178,0.8280502073906317,0.8613426168258029,0.4805539466048605,0.4664202843148978,0.4753232787601953,0.46585244144894444,0.6932199842797815,0.6829496938390834,0.6894369287760812,0.6825338390504492,0.9465950293638778,0.9158999754597409,0.9353616424906324,0.914644967582881
44.jpg,Healthy Teeth,1370.0866435208823,2222.244889820135,1675.26088289393,2238.336549405308,0.9789301718770818,0.9658252869649042,0.9742370608234563,0.9655778219572893,5.372888798121107,8.714685842431903,6.569650521152667,8.777790389824737,0.7688627738648379,0.815317402694431,0.7862151920326557,0.8161363907896528,0.5050417068256231,0.49263513065971254,0.5006008854372181,0.49240463769870135,0.7106628643918459,0.7018797123864691,0.7075315437754123,0.7017154962651896,0.9555793240855658,0.9279546902882317,0.9456812966877931,0.9274329977403487
45.jpg,Healthy Teeth,1315.3734810578985,2252.4333751576078,1711.7402667075414,2177.627106424883,0.9797715762762911,0.9653610344299572,0.9736760639327724,0.9665114399405641,5.158327376697641,8.8330720594416,6.712706928264868,8.53971414284268,0.7743680588610071,0.8253962795032492,0.7968713133185885,0.8215704575930755,0.49742460630966234,0.48408383518038356,0.4917857024166541,0.4851556902530231,0.7052833517882457,0.6957613349277061,0.7012743417640874,0.6965311839774463,0.958097381177763,0.928204806109796,0.9454511558760845,0.9305892462718399
46.jpg,Healthy Teeth,1733.026141121209,2612.168409685643,1870.8807480073574,2606.316897109217,0.9733487198794144,0.959828862152283,0.9712287277703171,0.9599188494277794,6.796180945573369,10.243797685041738,7.336787247087676,10.22085057689889,0.7993807596866069,0.8445174638681485,0.8068354734150441,0.8442333959303543,0.4901910530499465,0.47777570497042676,0.48823807613524145,0.4778584717229012,0.7001364531646288,0.6912132123812643,0.6987403495829059,0.6912730804269043,0.9449194538753066,0.9169432419607189,0.9405319490773658,0.9171292972175018
48.jpg,Healthy Teeth,1466.4986725211886,2134.4722011737385,1480.2390404659718,2111.3321287124154,0.9774475029600285,0.9671750960973498,0.9772361972062564,0.9675309548686308,5.750975186357603,8.370479220289171,5.804858982219497,8.279733838087903,0.7791001502280822,0.8155161610774508,0.7800106094879238,0.8143184485487034,0.49916457437880707,0.48942659842543673,0.49884749198920675,0.4897592265302212,0.7065157991006338,0.699590307555384,0.7062913647986975,0.6998279978181933,0.9528962869861718,0.9314459888105745,0.9524664001551535,0.9321891911748711
